id,alias
190,Asia Pacific
190,"Asia Pacific Fund,"
191,APC
191,Anadarko
191,Anadarko Petroleum
191,Anadarko Petroleum Corporation
192,APD
192,Air Products
192,Air Products and
193,APF
193,Morgan Stanley Asia
194,APH
194,Amphenol
194,Amphenol Corporation
194,Amphenol Corporation Common
195,APL
196,APL-E
197,APO
197,Apollo Global
197,"Apollo Global Management,"
198,APU
198,AmeriGas
198,"AmeriGas Partners,"
198,"AmeriGas Partners, L.P."
199,AR
199,Antero Resources
199,Antero Resources Corporation
200,ARC
200,ARC Document
200,"ARC Document Solutions,"
201,ARCO
201,Arcos
201,Arcos Dorados
201,Arcos Dorados Holdings
202,ARCX
202,Arc Logistic
202,Arc Logistic Partners
203,ARDC
203,Ares Dynamic
203,Ares Dynamic Credit
204,ARE
205,ARE-E
206,ARES
206,Ares Management
206,Ares Management L.P.
207,ARG
207,Airgas
207,"Airgas, Inc."
207,"Airgas, Inc. Common"
208,ARH-C
208,Arch Capital
208,Arch Capital Group
209,ARI
210,ARI-A
211,ARL
211,American Realty
211,"American Realty Investors,"
212,ARMF
212,Ares Multi
213,ARMK
213,Aramark
213,Aramark Common
213,Aramark Common Stock
214,ARN
215,ARO
215,Aeropostale
215,Aeropostale Inc
215,Aeropostale Inc Common
216,ARP
217,ARP-D
218,ARPI
218,American Residential
218,"American Residential Properties,"
219,ARR
220,ARR-A
220,Armour Residential REIT
221,ARR-B
222,ARU
223,ARW
223,"Arrow Electronics,"
223,"Arrow Electronics, Inc."
224,ARY
225,ASA
225,ASA Gold
226,ASB
227,ASB-B
228,ASC
228,Ardmore
228,Ardmore Shipping
228,Ardmore Shipping Corporation
229,ASG
230,ASGN
230,"On Assignment,"
230,"On Assignment, Inc."
231,ASH
231,Ashland
231,Ashland Inc.
231,Ashland Inc. (NEW)
232,ASPN
232,"Aspen Aerogels,"
232,"Aspen Aerogels, Inc."
233,ASR
234,ASX
234,Advanced Semiconductor
234,"Advanced Semiconductor Engineering,"
235,AT
235,Atlantic Power
235,Atlantic Power Corporation
236,ATE
236,Advantest
236,Advantest Corporation
236,Advantest Corporation (Kabushiki
237,A10
237,ATEN
237,"A10 Networks,"
237,"A10 Networks, Inc."
238,ATHM
238,Autohome
238,Autohome Inc.
238,Autohome Inc. American
239,ATI
239,Allegheny
239,Allegheny Technologies
239,Allegheny Technologies Incorporated
240,ATK
240,Alliant Techsystems
240,Alliant Techsystems Inc.
241,ATLS
241,"Atlas Energy,"
241,"Atlas Energy, L.P."
242,ATO
242,Atmos
242,Atmos Energy
242,Atmos Energy Corporation
243,ATR
243,AptarGroup
243,"AptarGroup, Inc."
243,"AptarGroup, Inc. Common"
244,ATTO
244,Atento
244,Atento S.A.
244,Atento S.A. Ordinary
245,ATU
245,Actuant
245,Actuant Corporation
245,Actuant Corporation Common
246,ATV
246,"Acorn International,"
246,"Acorn International, Inc."
247,ATW
247,Atwood
247,"Atwood Oceanics,"
247,"Atwood Oceanics, Inc."
248,AngloGold
248,AngloGold Ashanti
248,AngloGold Ashanti Limited
249,AUO
249,AU Optronics
249,AU Optronics Corp
250,AUQ
250,AuRico
250,AuRico Gold
250,AuRico Gold Inc.
251,AUY
251,Yamana
251,Yamana Gold
251,Yamana Gold Inc.
252,AV
252,Aviva plc Unsponsored
253,AVA
253,Avista
253,Avista Corporation
253,Avista Corporation Common
254,AVAL
254,Grupo Aval
254,Grupo Aval Acciones
255,AVB
255,AvalonBay
255,"AvalonBay Communities,"
255,"AvalonBay Communities, Inc."
256,AVD
256,American Vanguard
256,American Vanguard Corporation
257,AVG
257,AVG Technologies
257,AVG Technologies N.V.
258,AVH
258,Avianca
258,Avianca Holdings
258,Avianca Holdings S.A.
259,AVIV
259,"Aviv REIT,"
259,"Aviv REIT, Inc."
260,AVK
261,AVOL
261,Avolon
261,Avolon Holdings
261,Avolon Holdings Limited
262,AVP
262,Avon
262,"Avon Products,"
262,"Avon Products, Inc."
263,AVT
263,Avnet
263,"Avnet, Inc."
263,"Avnet, Inc. Common"
264,AVV
264,Aviva plc Subordinated
265,AVX
265,AVX Corporation
